run_id,low_cutoff_k,high_cutoff_k,n_low,n_high,a_low,b_low,a_high,b_high,tg_k
5,320.0,510.0,11,10,-0.000261442629091,1.35321105327,-0.000703881327576,1.53703931772,415.488666
5,320.0,520.0,11,9,-0.000261442629091,1.35321105327,-0.000715605220833,1.54462076869,421.456366
5,320.0,530.0,11,9,-0.000261442629091,1.35321105327,-0.000715605220833,1.54462076869,421.456366
5,330.0,490.0,12,11,-0.000279013642483,1.3561395555,-0.00069344038,1.53035711127,420.382036
5,330.0,500.0,12,10,-0.000279013642483,1.3561395555,-0.000703881327576,1.53703931772,425.779057
5,330.0,510.0,12,10,-0.000279013642483,1.3561395555,-0.000703881327576,1.53703931772,425.779057
5,330.0,520.0,12,9,-0.000279013642483,1.3561395555,-0.000715605220833,1.54462076869,431.710602
5,330.0,530.0,12,9,-0.000279013642483,1.3561395555,-0.000715605220833,1.54462076869,431.710602
6,290.0,490.0,10,11,-0.000263027662727,1.22318294062,-0.000791150706182,1.44461202108,419.275552
6,290.0,500.0,10,10,-0.000263027662727,1.22318294062,-0.000818373706152,1.46203474106,430.095439
6,290.0,510.0,10,10,-0.000263027662727,1.22318294062,-0.000818373706152,1.46203474106,430.095439
6,290.0,520.0,10,9,-0.000263027662727,1.22318294062,-0.000819978788917,1.46307269458,430.719578
6,290.0,530.0,10,9,-0.000263027662727,1.22318294062,-0.000819978788917,1.46307269458,430.719578
6,300.0,490.0,10,11,-0.000263027662727,1.22318294062,-0.000791150706182,1.44461202108,419.275552
6,300.0,500.0,10,10,-0.000263027662727,1.22318294062,-0.000818373706152,1.46203474106,430.095439
6,300.0,510.0,10,10,-0.000263027662727,1.22318294062,-0.000818373706152,1.46203474106,430.095439
6,300.0,520.0,10,9,-0.000263027662727,1.22318294062,-0.000819978788917,1.46307269458,430.719578
6,300.0,530.0,10,9,-0.000263027662727,1.22318294062,-0.000819978788917,1.46307269458,430.719578
6,310.0,490.0,11,11,-0.000263070689545,1.22318982491,-0.000791150706182,1.44461202108,419.296677
6,310.0,500.0,11,10,-0.000263070689545,1.22318982491,-0.000818373706152,1.46203474106,430.116367
6,310.0,510.0,11,10,-0.000263070689545,1.22318982491,-0.000818373706152,1.46203474106,430.116367
6,310.0,520.0,11,9,-0.000263070689545,1.22318982491,-0.000819978788917,1.46307269458,430.740494
6,310.0,530.0,11,9,-0.000263070689545,1.22318982491,-0.000819978788917,1.46307269458,430.740494
6,320.0,490.0,11,11,-0.000263070689545,1.22318982491,-0.000791150706182,1.44461202108,419.296677
